id,created_at,updated_at,business_id,url,name,category,address,country,state,city,street,postal_code,website,image_url,phone,fax,work_hours,user_score,reviews_quantity,accredited_score,accredited_date,foundation_date,years_old,instagram,facebook,twitter,management,contact,sent_to_customer
30810,2024-03-18 16:01:57,2024-03-18 16:01:57,craftex-builders-a-division-of-leeville-construction-ltd-0117-117014,https://www.bbb.org/ca/ab/lloydminster/profile/general-contractor/craftex-builders-a-division-of-leeville-construction-ltd-0117-117014,Craftex Builders a Division of Leeville Construction Ltd.,General Contractor,"6415B -63 Street Close Lloydminster, AB T9V 3T6",Canada,AB,Lloydminster,6415B -63 Street Close,T9V 3T6,http://www.craftexbuilders.com,,7808756262,(780) 875-3408,"{""F"": ""8:00 AM - 5:00 PM"", ""M"": ""8:00 AM - 5:00 PM"", ""T"": ""8:00 AM - 5:00 PM"", ""W"": ""8:00 AM - 5:00 PM"", ""Sa"": ""Closed"", ""Su"": ""Closed"", ""Th"": ""8:00 AM - 5:00 PM""}",,,NR,,,58,,,,"{""Ed Hickman"": null}","{""Ed Hickman"": null}",
30811,2024-03-18 16:01:57,2024-03-18 16:01:57,yaju-homes-ltd-0037-1369374,https://www.bbb.org/ca/bc/vancouver/profile/home-builders/yaju-homes-ltd-0037-1369374,Yaju Homes Ltd,Home Builders,"210 - 1669 W 3rd Ave Vancouver, BC V6J 1K1",Canada,BC,Vancouver,210 - 1669 W 3rd Ave,V6J 1K1,https://yaju.ca,,7783796999,,{},,,A+,,2014-01-08 00:00:00,10,,,,"{""Xiao Mei Peng"": null, ""Liang Ming Wei"": ""Director"", ""Zhong Gui Zhang"": ""Director""}","{""Liang Ming Wei"": ""Director""}",
30812,2024-03-18 16:01:57,2024-03-18 16:01:57,independent-electric-controls-ltd-0117-152211,https://www.bbb.org/ca/ab/lloydminster/profile/electrician/independent-electric-controls-ltd-0117-152211,Independent Electric & Controls Ltd,Electrician,"6211 51 Ave Lloydminster, AB T9V 2E1",Canada,AB,Lloydminster,6211 51 Ave,T9V 2E1,,,7808710830,,{},,,NR,,,,,,,{},{},
30813,2024-03-18 16:01:57,2024-03-18 16:01:57,end-dust-furnace-cleaning-0117-153850,https://www.bbb.org/ca/ab/lloydminster/profile/duct-cleaning/end-dust-furnace-cleaning-0117-153850,End-dust Furnace Cleaning,Duct Cleaning,"3902 69 Ave Lloydminster, AB T9V 1P1",Canada,AB,Lloydminster,3902 69 Ave,T9V 1P1,,,7808751612,,{},,,A+,,,,,,,"{""Kelly"": null}","{""Kelly"": null}",
30814,2024-03-18 16:01:57,2024-03-18 16:01:57,1713497-alberta-ltd-0117-183372,https://www.bbb.org/ca/ab/lloydminster/profile/general-contractor/1713497-alberta-ltd-0117-183372,1713497 Alberta Ltd.,General Contractor,"Box 13101 Lloydminster, AB T9V 2J4",Canada,AB,Lloydminster,Box 13101,T9V 2J4,,,7808083647,,{},,,NR,,2012-11-19 00:00:00,11,,,,"{""Waseem Arshad"": null}","{""Waseem Arshad"": null}",
30815,2024-03-18 16:01:57,2024-03-18 16:01:57,ro-way-eavestroughing-ltd-0117-137032,https://www.bbb.org/ca/ab/lloydminster/profile/general-contractor/ro-way-eavestroughing-ltd-0117-137032,Ro-way Eavestroughing Ltd,General Contractor,"5919 20 St Lloydminster, AB T9V 0A4",Canada,AB,Lloydminster,5919 20 St,T9V 0A4,,,7808088805,(780) 808-8550,{},,,NR,,,,,,,{},{},
30816,2024-03-18 16:01:57,2024-03-18 16:01:57,ruffs-boarding-and-doggy-daycare-0117-192489,https://www.bbb.org/ca/ab/lloydminster/profile/dog-daycare/ruffs-boarding-and-doggy-daycare-0117-192489,Ruff's Boarding and Doggy Daycare,Dog Daycare,"RR5 Station Main 14054 TWP Rd 494 Lloydminster, AB T9V 3A1",Canada,AB,Lloydminster,RR5 Station Main 14054 TWP Rd 494,T9V 3A1,https://www.facebook.com/Ruffsdoggydaycareandboarding/,,7802050604,,{},,,A+,,2017-04-01 00:00:00,6,,,,"{""Lorinda Smith"": ""Owner""}","{""Lorinda Smith"": ""Owner""}",
30817,2024-03-18 16:01:57,2024-03-18 16:01:57,l-j-r-electrical-ltd-0117-136945,https://www.bbb.org/ca/ab/lloydminster/profile/electrician/l-j-r-electrical-ltd-0117-136945,L J R Electrical Ltd,Electrician,"2902 51b Ave Lloydminster, AB T9V 1M2",Canada,AB,Lloydminster,2902 51b Ave,T9V 1M2,,,,,{},,,NR,,,,,,,"{""Larry Gale"": null}","{""Larry Gale"": null}",
30818,2024-03-18 16:01:57,2024-03-18 16:01:57,act-iii-design-construction-0037-117611,https://www.bbb.org/ca/bc/vancouver/profile/home-improvement/act-iii-design-construction-0037-117611,Act III Design & Construction,Home Improvement,"208-5955 Iona Dr Vancouver, BC V6T 2L4",Canada,BC,Vancouver,208-5955 Iona Dr,V6T 2L4,https://www.act3design.com/,,6048394474,(604) 738-9498,{},,,A+,,1981-10-01 00:00:00,42,,,,"{""Craig Strand"": ""President""}","{""Craig Strand"": ""President""}",
30819,2024-03-18 16:01:57,2024-03-18 16:01:57,vicini-homes-0037-1377844,https://www.bbb.org/ca/bc/vancouver/profile/home-builders/vicini-homes-0037-1377844,Vicini Homes,Home Builders,"401-1930 Pandora St. Vancouver, BC V5L 0C7",Canada,BC,Vancouver,401-1930 Pandora St.,V5L 0C7,https://vicinihomes.com/,,6042967999,,{},,,A+,,,,,https://facebook.com/vicinihomes,,"{""Patricia Sumter"": ""Assistant General Manager""}","{""Patricia Sumter"": ""Assistant General Manager""}",
